date,time,temp,az,windspeed,visibility,percipitation
17-12-2019,21,4.9,270,2,5,0.25
17-12-2019,18,6.1,247.5,5,5,0.125
17-12-2019,15,8,247.5,4,7,0
17-12-2019,12,8.4,270,2,10,0.25
17-12-2019,9,7.8,135,2,8,0.5
17-12-2019,6,6.5,22.5,2,2,0.375
17-12-2019,3,8.3,112.5,3,3,0.25
17-12-2019,0,8.8,135,2,2,0.125
16-12-2019,21,7.4,135,2,1.5,0
16-12-2019,18,9,270,2,3,0
16-12-2019,15,10.4,157.5,4,2.5,0
16-12-2019,12,10.5,202.5,4,2.5,0
16-12-2019,9,8.8,0,0,3,0
16-12-2019,6,5.2,315,2,4,0
16-12-2019,3,5,315,2,2.5,0
16-12-2019,0,5.9,0,0,2.2,0
15-12-2019,21,6.3,292.5,2,3,0
15-12-2019,18,8.2,0,0,2.5,0
15-12-2019,15,10.9,180,2,2,0
15-12-2019,12,10.3,157.5,2,1.7,0
15-12-2019,9,8.4,0,0,2,0
15-12-2019,6,4.7,315,2,4,0
15-12-2019,3,4.6,315,2,3,0
15-12-2019,0,5.1,270,2,3.5,0
14-12-2019,21,5.9,0,0,3,0
14-12-2019,18,7.9,180,3,3,0
14-12-2019,15,10.4,202.5,3,3,0
14-12-2019,12,9.3,247.5,3,3,0
14-12-2019,9,7.9,0,0,3,0
14-12-2019,6,3.4,292.5,2,3,0
14-12-2019,3,3.4,292.5,2,3,0
14-12-2019,0,4.6,0,0,3,0
13-12-2019,21,6,0,0,2.5,0
13-12-2019,18,5.9,270,2,2.5,0
13-12-2019,15,6.5,225,3,3,0
13-12-2019,12,6.2,225,2,4,0
13-12-2019,9,6,202.5,2,2,0
13-12-2019,6,5.3,0,0,4,0
13-12-2019,3,4.8,0,0,5,0
13-12-2019,0,5.3,0,0,6,0
12-12-2019,21,6.5,180,2,8,0
12-12-2019,18,7.6,292.5,2,8,0
12-12-2019,15,9.5,0,0,8,0
12-12-2019,12,9,202.5,4,8,0
12-12-2019,9,6.3,0,0,10,0
12-12-2019,6,2.4,0,0,10,0
12-12-2019,3,3,270,2,10,0
12-12-2019,0,3.8,315,2,10,0
11-12-2019,21,5.7,292.5,5,10,0
11-12-2019,18,7.9,292.5,5,10,0
11-12-2019,15,9.8,270,7,10,0
11-12-2019,12,10.8,270,2,6,0.125
11-12-2019,9,7.2,247.5,5,8,0.25
11-12-2019,6,6.4,292.5,4,8,0.125
11-12-2019,3,5.5,0,0,6,0
11-12-2019,0,6.2,0,0,10,0
10-12-2019,21,6.2,0,0,10,0
10-12-2019,18,8,0,0,10,0
10-12-2019,15,11.2,247.5,4,12,0
10-12-2019,12,9.8,247.5,4,7,0
10-12-2019,9,7.4,247.5,2,8,0
10-12-2019,6,3.3,270,2,10,0
10-12-2019,3,3.8,0,0,10,0
10-12-2019,0,6.1,337.5,3,10,0
09-12-2019,21,6.1,270,3,10,0
09-12-2019,18,7.5,270,9,12,0
09-12-2019,15,9.7,270,7,12,0
09-12-2019,12,9.5,270,7,15,0
09-12-2019,9,7.7,270,7,15,0
09-12-2019,6,5.5,270,4,12,0
09-12-2019,3,3.8,270,5,15,0
09-12-2019,0,4.1,0,0,8,0.5
08-12-2019,21,6.8,315,3,12,1
08-12-2019,18,7.1,0,0,12,1.25
08-12-2019,15,8,45,4,5,1.5
08-12-2019,12,8.5,90,3,5,1.25
